OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
233421,LUISES,SE OTORGA PLAZO,VIGENTE,LUIS FERNANDO RAMOS MENDOZA,FRANCISCO JAVIER DURAZO RIOS,24/02/2009,23/02/2059,,
233422,LUISES,SE OTORGA PLAZO,VIGENTE,LUIS FERNANDO RAMOS MENDOZA,FRANCISCO JAVIER DURAZO RIOS,24/02/2009,23/02/2059,,
233423,LUISES,SE OTORGA PLAZO,VIGENTE,LUIS FERNANDO RAMOS MENDOZA,FRANCISCO JAVIER DURAZO RIOS,24/02/2009,23/02/2059,,
233427,PORVENIR,,CANCELADO,,,24/02/2009,23/02/2059,,
233428,SAN ISIDRO,,VIGENTE,,,24/02/2009,23/02/2059,,
233469,EDGAR,SE OTORGA PLAZO,VIGENTE,EDGAR RICARDO FELIX OCEGUERA,"MEXUS GOLD MINING, S.A. DE C.V.",25/02/2009,24/02/2059,,
234036,SAN JUDAS,CESIÃ“N DE DERECHOS PARCIAL ONEROSA,VIGENTE,CARLOS ARTURO RABAGO FIGUEROA,JESUS ARMANDO MONTAÃ‘O ORTIZ,22/05/2009,21/05/2059,,
234037,SAN JUDAS 2,CESIÃ“N DE DERECHOS PARCIAL GRATUITA,VIGENTE,MAURICIO CORDOVA GONZALEZ,JOSE CORONADO CELAYA,22/05/2009,21/05/2059,,
234295,EDGAR II,SE OTORGA PLAZO,VIGENTE,ELIAS FELIX BADILLA,"MEXUS GOLD MINING, S.A. DE C.V.",10/06/2009,09/06/2059,,
234353,SANTA CECILIA,CESIÃ“N DE DERECHOS TOTAL ONEROSA,VIGENTE,JOSE ANDRES ESCARCEGA ESCARCEGA,"MINERA AURICUP, S. DE R.L. DE C.V.",23/06/2009,22/06/2059,,
234408,LA OPORTUNIDAD,,CANCELADO,,,26/06/2009,25/06/2059,,
234414,LOMA BLANCA,,VIGENTE,,,26/06/2009,25/06/2059,,
234415,TEOCUITLA,SE OTORGA PLAZO,VIGENTE,SAMUEL ZENDEJAS MENDIVIL,"MINERA TEOCUITLA, S.A. DE C.V.",26/06/2009,25/06/2059,,
234546,TEOCUITLA 2,,VIGENTE,,,10/07/2009,09/07/2059,,
234687,LUPE,,CANCELADO,,,29/07/2009,28/07/2059,,
234772,EL RODEO,,VIGENTE,,,14/08/2009,13/08/2059,,
235119,CORRALITOS,,CANCELADO,,,09/10/2009,08/10/2059,,
235209,EL TAPIRO,,CANCELADO,,,23/10/2009,22/10/2059,,
235243,SILICOSA,,VIGENTE,,,27/10/2009,26/10/2059,,
235256,GACHI 2 FRACC. 1,CESIÃ“N DE DERECHOS TOTAL ONEROSA,VIGENTE,"IMPULSORA MINERA SANTACRUZ, S.A. DE C.V.","NUSANTARA DE MEXICO, S.A. DE C.V.",04/11/2009,03/11/2059,,
235257,GACHI 2 FRACC. 2,CESIÃ“N DE DERECHOS TOTAL ONEROSA,VIGENTE,"IMPULSORA MINERA SANTACRUZ, S.A. DE C.V.","NUSANTARA DE MEXICO, S.A. DE C.V.",04/11/2009,03/11/2059,,
235258,GACHI 2 FRACC. 3,CESIÃ“N DE DERECHOS TOTAL ONEROSA,VIGENTE,"IMPULSORA MINERA SANTACRUZ, S.A. DE C.V.","NUSANTARA DE MEXICO, S.A. DE C.V.",04/11/2009,03/11/2059,,
235296,HERNANDEZ FRACC. I,CESIÃ“N DE DERECHOS TOTAL ONEROSA,VIGENTE,"MINERA MINEFINDERS, S.A. DE C.V.","COMPAÑIA MINERA DOLORES, S.A. DE C.V.",06/11/2009,05/11/2059,,
235297,HERNANDEZ FRACC. 2,CESIÃ“N DE DERECHOS TOTAL ONEROSA,VIGENTE,"MINERA MINEFINDERS, S.A. DE C.V.","COMPAÑIA MINERA DOLORES, S.A. DE C.V.",06/11/2009,05/11/2059,,
235298,HERNANDEZ FRACC. 3,CESIÃ“N DE DERECHOS TOTAL ONEROSA,VIGENTE,"MINERA MINEFINDERS, S.A. DE C.V.","COMPAÑIA MINERA DOLORES, S.A. DE C.V.",06/11/2009,05/11/2059,,
235299,HERNANDEZ FRACC. 4,CESIÃ“N DE DERECHOS TOTAL ONEROSA,VIGENTE,"MINERA MINEFINDERS, S.A. DE C.V.","COMPAÑIA MINERA DOLORES, S.A. DE C.V.",06/11/2009,05/11/2059,,
235300,HERNANDEZ FRACC. 5,CESIÃ“N DE DERECHOS TOTAL ONEROSA,VIGENTE,"MINERA MINEFINDERS, S.A. DE C.V.","COMPAÑIA MINERA DOLORES, S.A. DE C.V.",06/11/2009,05/11/2059,,
